État;Année;Comparaison;Indicateur;Valeur;mesure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1981;Série chronologique;Taux de pression fiscale;0.334;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1982;Série chronologique;Taux de pression fiscale;0.337;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1983;Série chronologique;Taux de pression fiscale;0.327;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1984;Série chronologique;Taux de pression fiscale;0.325;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1985;Série chronologique;Taux de pression fiscale;0.331;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1986;Série chronologique;Taux de pression fiscale;0.349;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1987;Série chronologique;Taux de pression fiscale;0.353;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1988;Série chronologique;Taux de pression fiscale;0.355;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1989;Série chronologique;Taux de pression fiscale;0.356;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1990;Série chronologique;Taux de pression fiscale;0.372;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1991;Série chronologique;Taux de pression fiscale;0.381;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1992;Série chronologique;Taux de pression fiscale;0.389;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1993;Série chronologique;Taux de pression fiscale;0.381;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1994;Série chronologique;Taux de pression fiscale;0.372;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1995;Série chronologique;Taux de pression fiscale;0.375;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1996;Série chronologique;Taux de pression fiscale;0.382;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1997;Série chronologique;Taux de pression fiscale;0.39;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1998;Série chronologique;Taux de pression fiscale;0.396;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;1999;Série chronologique;Taux de pression fiscale;0.392;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2000;Série chronologique;Taux de pression fiscale;0.399;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2001;Série chronologique;Taux de pression fiscale;0.382;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2002;Série chronologique;Taux de pression fiscale;0.368;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2003;Série chronologique;Taux de pression fiscale;0.374;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2004;Série chronologique;Taux de pression fiscale;0.375;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2005;Série chronologique;Taux de pression fiscale;0.38;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2006;Série chronologique;Taux de pression fiscale;0.381;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2007;Série chronologique;Taux de pression fiscale;0.371;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2008;Série chronologique;Taux de pression fiscale;0.362;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2009;Série chronologique;Taux de pression fiscale;0.363;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2010;Série chronologique;Taux de pression fiscale;0.363;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Québec;2011;Série chronologique;Taux de pression fiscale;0.368;pourcentage du PIB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
